match_no,date,group,home,away,venue,home_goals,away_goals,status
1,2026-06-11,A,MEX,RSA,CDMX,2,0,played
2,2026-06-11,A,KOR,CZE,GDL,2,1,played
3,2026-06-12,B,CAN,BIH,TOR,1,1,played
4,2026-06-12,D,USA,PAR,LA,4,1,played
5,2026-06-13,B,QAT,SUI,SF,1,1,played
6,2026-06-13,C,BRA,MAR,NYNJ,1,1,played
7,2026-06-13,C,HAI,SCO,BOS,0,1,played
8,2026-06-13,D,AUS,TUR,VAN,2,0,played
9,2026-06-14,E,GER,CUW,HOU,7,1,played
10,2026-06-14,F,NED,JPN,DAL,2,2,played
11,2026-06-14,E,CIV,ECU,PHI,1,0,played
12,2026-06-14,F,SWE,TUN,MTY,5,1,played
13,2026-06-15,H,ESP,CPV,ATL,0,0,played
14,2026-06-15,G,BEL,EGY,SEA,1,1,played
15,2026-06-15,H,KSA,URU,MIA,1,1,played
16,2026-06-15,G,IRN,NZL,LA,2,2,played
17,2026-06-16,I,FRA,SEN,NYNJ,3,1,played
18,2026-06-16,I,IRQ,NOR,BOS,1,4,played
19,2026-06-16,J,ARG,ALG,KC,3,0,played
20,2026-06-16,J,AUT,JOR,SF,3,1,played
21,2026-06-17,K,POR,COD,HOU,0,0,played
22,2026-06-17,L,ENG,CRO,DAL,4,2,played
23,2026-06-17,L,GHA,PAN,TOR,1,0,played
24,2026-06-17,K,UZB,COL,CDMX,,,scheduled
25,2026-06-18,A,CZE,RSA,ATL,,,scheduled
26,2026-06-18,B,SUI,BIH,LA,,,scheduled
27,2026-06-18,B,CAN,QAT,VAN,,,scheduled
28,2026-06-18,A,MEX,KOR,GDL,,,scheduled
29,2026-06-19,D,USA,AUS,SEA,,,scheduled
30,2026-06-19,C,SCO,MAR,BOS,,,scheduled
31,2026-06-19,C,BRA,HAI,PHI,,,scheduled
32,2026-06-19,D,TUR,PAR,SF,,,scheduled
33,2026-06-20,F,NED,SWE,HOU,,,scheduled
34,2026-06-20,E,GER,CIV,TOR,,,scheduled
35,2026-06-20,E,ECU,CUW,KC,,,scheduled
36,2026-06-20,F,TUN,JPN,MTY,,,scheduled
37,2026-06-21,H,ESP,KSA,ATL,,,scheduled
38,2026-06-21,G,BEL,IRN,LA,,,scheduled
39,2026-06-21,H,URU,CPV,MIA,,,scheduled
40,2026-06-21,G,NZL,EGY,VAN,,,scheduled
41,2026-06-22,J,ARG,AUT,DAL,,,scheduled
42,2026-06-22,I,FRA,IRQ,PHI,,,scheduled
43,2026-06-22,I,NOR,SEN,NYNJ,,,scheduled
44,2026-06-22,J,JOR,ALG,SF,,,scheduled
45,2026-06-23,K,POR,UZB,HOU,,,scheduled
46,2026-06-23,L,ENG,GHA,BOS,,,scheduled
47,2026-06-23,L,PAN,CRO,TOR,,,scheduled
48,2026-06-23,K,COL,COD,GDL,,,scheduled
49,2026-06-24,B,SUI,CAN,VAN,,,scheduled
50,2026-06-24,B,BIH,QAT,SEA,,,scheduled
51,2026-06-24,C,SCO,BRA,MIA,,,scheduled
52,2026-06-24,C,MAR,HAI,ATL,,,scheduled
53,2026-06-24,A,CZE,MEX,CDMX,,,scheduled
54,2026-06-24,A,RSA,KOR,MTY,,,scheduled
55,2026-06-25,E,CUW,CIV,PHI,,,scheduled
56,2026-06-25,E,ECU,GER,NYNJ,,,scheduled
57,2026-06-25,F,JPN,SWE,DAL,,,scheduled
58,2026-06-25,F,TUN,NED,KC,,,scheduled
59,2026-06-25,D,TUR,USA,LA,,,scheduled
60,2026-06-25,D,PAR,AUS,SF,,,scheduled
61,2026-06-26,I,NOR,FRA,BOS,,,scheduled
62,2026-06-26,I,SEN,IRQ,TOR,,,scheduled
63,2026-06-26,H,CPV,KSA,HOU,,,scheduled
64,2026-06-26,H,URU,ESP,GDL,,,scheduled
65,2026-06-26,G,EGY,IRN,SEA,,,scheduled
66,2026-06-26,G,NZL,BEL,VAN,,,scheduled
67,2026-06-27,L,PAN,ENG,NYNJ,,,scheduled
68,2026-06-27,L,CRO,GHA,PHI,,,scheduled
69,2026-06-27,K,COL,POR,MIA,,,scheduled
70,2026-06-27,K,COD,UZB,ATL,,,scheduled
71,2026-06-27,J,ALG,AUT,KC,,,scheduled
72,2026-06-27,J,JOR,ARG,DAL,,,scheduled
